FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,GENERO,EDAD,ESTADO_FORMACION,CONVOCATORIA,NIVE_EDUCATIVO,ESTADOS,META_BENEFICIARIOS,INVERSION,FECHA_VIGENCIA
2020-01-20,CUNDINAMARCA,MOSQUERA,MASCULINO,25,GRADUADO,4,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,QUINDIO,ARMENIA,FEMENINO,36,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,VALLE DEL CAUCA,CALI,MASCULINO,64,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,34,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,34,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,34,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,34,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,34,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,34,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,63,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,NORTE DE SANTANDER,CUCUTA,MASCULINO,37,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,59,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CASANARE,YOPAL,MASCULINO,17,ASPIRANTE,3,MEDIA,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,CAJICA,MASCULINO,43,GRADUADO,4,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,CALDAS,MANIZALES,MASCULINO,35,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CALDAS,MANIZALES,MASCULINO,35,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CALDAS,MANIZALES,MASCULINO,35,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CALDAS,MANIZALES,MASCULINO,35,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CALDAS,MANIZALES,MASCULINO,35,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOLIVAR,CARTAGENA,MASCULINO,27,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOLIVAR,CARTAGENA,MASCULINO,27,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOLIVAR,CARTAGENA,MASCULINO,27,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,32,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,32,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,32,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,32,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,32,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,32,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,TOLIMA,IBAGUE,MASCULINO,30,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CESAR,VALLEDUPAR,MASCULINO,24,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,22,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,MASCULINO,57,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,MASCULINO,57,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,AMAZONAS,LETICIA,MASCULINO,33,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,16,ASPIRANTE,3,MEDIA,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,58,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,58,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,58,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,36,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CAUCA,POPAYAN,FEMENINO,25,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,TOLIMA,IBAGUE,MASCULINO,27,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,FEMENINO,28,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,FEMENINO,28,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,FEMENINO,28,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,MASCULINO,26,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CAUCA,POPAYAN,MASCULINO,30,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CAUCA,POPAYAN,MASCULINO,30,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CAUCA,POPAYAN,MASCULINO,30,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,META,VILLAVICENCIO,FEMENINO,33,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,MASCULINO,26,GRADUADO,2,SUPERIOR POSGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,MASCULINO,26,GRADUADO,2,SUPERIOR POSGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,MASCULINO,26,GRADUADO,2,SUPERIOR POSGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,MASCULINO,26,GRADUADO,2,SUPERIOR POSGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,MASCULINO,26,GRADUADO,2,SUPERIOR POSGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,MASCULINO,26,GRADUADO,2,SUPERIOR POSGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,TOLIMA,IBAGUE,MASCULINO,37,ASPIRANTE,2,MEDIA,ASPIRANTE,,,2020-12-31
2020-01-20,ATLANTICO,BARRANQUILLA,FEMENINO,35,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,NARIÑO,PASTO,MASCULINO,43,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,NARIÑO,PASTO,MASCULINO,43,ASPIRANTE,2,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,FEMENINO,42,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,ANTIOQUIA,MEDELLIN,FEMENINO,42,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,41,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,41,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,41,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,41,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",NO REGISTRA,25,GRADUADO,3,SUPERIOR PREGRADO,BENEFICIARIO,1713,4029641,2020-12-31
2020-01-20,BOYACA,TUNJA,MASCULINO,46,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,QUINDIO,ARMENIA,MASCULINO,41,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,CUNDINAMARCA,AGUA DE DIOS,MASCULINO,26,GRADUADO,2,SUPERIOR PREGRADO,BENEFIARIO,1713,4029641,2020-12-31
2020-01-20,NARIÑO,PASTO,MASCULINO,38,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,NARIÑO,PASTO,MASCULINO,38,ASPIRANTE,3,SUPERIOR POSGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,FEMENINO,32,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,SANTANDER,BUCARAMANGA,FEMENINO,32,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,51,ASPIRANTE,3,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
2020-01-20,BOGOTA,"BOGOTA, D.C.",FEMENINO,25,ASPIRANTE,2,SUPERIOR PREGRADO,ASPIRANTE,,,2020-12-31
